Argentina,ARGT,0,4
Australia,EWA,19.6,25
Austria,EWO,16.8,6
Belgium,EWK,24,14
Brazil,EWZ,19.1,10
Canada,EWC,22.1,33
Chile,ECH,14.8,30
China,MCHI,15.6,15
Colombia,GXG,16.9,40
Denmark,EDEN,34.2,41
Egypt,EGPT,13.7,22
Finland,EFNL,24.1,17
France,EWQ,22.6,21
Germany,EWG,18.9,28
Greece,GREK,0,1
Hong Kong,EWH,15,27
India,INDY,21.7,31
Indonesia,EIDO,17.7,43
Ireland,EIRL,58.3,3
Israel,EIS,16.3,8
Italy,EWI,21.2,5
Japan,EWJ,22.4,38
Malaysia,EWM,14.7,37
Mexico,EWW,18,34
Netherlands,EWN,26,18
New Zealand,ENZL,30.1,20
Norway,NORW,16.3,16
Peru,EPU,17.2,35
Philippines,EPHE,18.7,39
Poland,EPOL,11,13
Portugal,PGAL,17.3,7
Russia,ERUS,7.8,2
Singapore,EWS,14.1,12
South Africa,EZA,17.6,36
South Korea,EWY,12.7,26
Spain,EWP,14.5,9
Sweden,EWD,22.3,29
Switzerland,EWL,27.1,32
Taiwan,EWT,22.1,24
Thailand,THD,16.8,23
Turkey,TUR,8.5,11
United Kingdom,EWU,16.5,19
USA,VTI,31.1,42
